item	itemLabel	wordnet_id	MESH	CUI	ICD-10	SNOMED-CT	wordnet30_id	sense
http://www.wikidata.org/entity/Q1185750	seersucker	04174722-n					04167661-n	seersucker%1:06:00::
http://www.wikidata.org/entity/Q1188673	subway	04516099-n					04508804-n	underpass%1:06:00:: subway%1:06:01::
http://www.wikidata.org/entity/Q1190074	carrot juice	07941848-n					07925608-n	carrot_juice%1:13:00::
http://www.wikidata.org/entity/Q1195489	Symplocarpus foetidus	11813211-n					11792742-n	skunk_cabbage%1:20:01:: symplocarpus_foetidus%1:20:00:: foetid_pothos%1:20:00:: polecat_weed%1:20:00::
http://www.wikidata.org/entity/Q1195804	hacksaw	03479902-n					03474779-n	metal_saw%1:06:00:: hack_saw%1:06:00:: hacksaw%1:06:00::
http://www.wikidata.org/entity/Q1195942	fire station	03352184-n					03347338-n	fire_station%1:06:00:: firehouse%1:06:00::
http://www.wikidata.org/entity/Q1200049	1 Esdras	06471648-n					06459978-n	i_esdra%1:10:00:: 1_esdras%1:10:00::
http://www.wikidata.org/entity/Q1200918	trapeze	04482646-n					04475411-n	trapeze%1:06:00::
http://www.wikidata.org/entity/Q1202833	frozen meal	07591876-n					07576311-n	tv_dinner%1:13:00::
http://www.wikidata.org/entity/Q1204894	gibibit	13650770-n					13629309-n	gibibit%1:23:00:: gibit%1:23:00::
http://www.wikidata.org/entity/Q1209756	grape juice	07940800-n					07924560-n	grape_juice%1:13:00::
http://www.wikidata.org/entity/Q1214385	integument	05246573-n					05239243-n	integument%1:08:00::
http://www.wikidata.org/entity/Q1219805	mucous membrane	05334682-n	D009092				05327134-n	mucous_membrane%1:08:00:: mucosa%1:08:00::
http://www.wikidata.org/entity/Q1225289	muscle relaxant	03805523-n					03800001-n	muscle_relaxant%1:06:00::
http://www.wikidata.org/entity/Q1227524	Director of Central Intelligence	10035352-n					10015607-n	director_of_central_intelligence%1:18:00:: dci%1:18:00::
http://www.wikidata.org/entity/Q1229025	typographer	09969425-n					09949946-n	typographer%1:18:00:: typesetter%1:18:00:: setter%1:18:00:: compositor%1:18:00::
