item	wordnet_id	MESH	CUI
http://www.wikidata.org/entity/Q2096	08841734-n		
http://www.wikidata.org/entity/Q2119	08791906-n		
http://www.wikidata.org/entity/Q2132	08842306-n		
http://www.wikidata.org/entity/Q2294	09422912-n	D011522	
http://www.wikidata.org/entity/Q2471	09188257-n		
http://www.wikidata.org/entity/Q2487	01311600-n		
http://www.wikidata.org/entity/Q3001	09053431-n		
http://www.wikidata.org/entity/Q3359	09485361-n		
http://www.wikidata.org/entity/Q3751	08735927-n		
http://www.wikidata.org/entity/Q3761	08966337-n		
http://www.wikidata.org/entity/Q3799	08777517-n		
http://www.wikidata.org/entity/Q3825	08965478-n		
http://www.wikidata.org/entity/Q3838	08752997-n		
http://www.wikidata.org/entity/Q3863	09231590-n		
http://www.wikidata.org/entity/Q3881	09188789-n		
http://www.wikidata.org/entity/Q3908	09050574-n		
http://www.wikidata.org/entity/Q3954	09592459-n		
http://www.wikidata.org/entity/Q3955	08789233-n		
http://www.wikidata.org/entity/Q4128	10840983-n		
http://www.wikidata.org/entity/Q4441	10954362-n		
http://www.wikidata.org/entity/Q4817	03078384-n		
http://www.wikidata.org/entity/Q2367166	01907962-n		
http://www.wikidata.org/entity/Q2393792	05303500-n		C0205890
http://www.wikidata.org/entity/Q61071	11037291-n		
http://www.wikidata.org/entity/Q61476	14764406-n	D005227	
http://www.wikidata.org/entity/Q61509	00296527-n	D014195	
http://www.wikidata.org/entity/Q63049	08931375-n		
http://www.wikidata.org/entity/Q63085	01353496-n		
http://www.wikidata.org/entity/Q65955	15152934-n		
http://www.wikidata.org/entity/Q69339	11055614-n		
http://www.wikidata.org/entity/Q72579	11025567-n		
http://www.wikidata.org/entity/Q73599	07186768-n		
http://www.wikidata.org/entity/Q74083	01477505-n		
http://www.wikidata.org/entity/Q75794	09252616-n		
http://www.wikidata.org/entity/Q76034	08840311-n		
http://www.wikidata.org/entity/Q76280	01443405-n		
http://www.wikidata.org/entity/Q76433	10883036-n		
http://www.wikidata.org/entity/Q76483	11282564-n		
http://www.wikidata.org/entity/Q76487	11068874-n		
http://www.wikidata.org/entity/Q76602	11067134-n		
http://www.wikidata.org/entity/Q76604	10991844-n		
http://www.wikidata.org/entity/Q76707	11398924-n		
http://www.wikidata.org/entity/Q77104	11153928-n		
http://www.wikidata.org/entity/Q78477	11307560-n		
http://www.wikidata.org/entity/Q79035	11307427-n		
http://www.wikidata.org/entity/Q79447	15055640-n	D007072	
http://www.wikidata.org/entity/Q79759	11201063-n		
http://www.wikidata.org/entity/Q79804	09078741-n		
http://www.wikidata.org/entity/Q79833	11530989-n		
http://www.wikidata.org/entity/Q79838	02675461-n		
http://www.wikidata.org/entity/Q79876	09535526-n		
http://www.wikidata.org/entity/Q79941	09077079-n		
http://www.wikidata.org/entity/Q79999	09591180-n		
http://www.wikidata.org/entity/Q80038	06446038-n		
http://www.wikidata.org/entity/Q80048	10901536-n		
http://www.wikidata.org/entity/Q80378	01490679-n		
http://www.wikidata.org/entity/Q80732	11355486-n		
http://www.wikidata.org/entity/Q80914	08763520-n		
http://www.wikidata.org/entity/Q80967	08914546-n		
http://www.wikidata.org/entity/Q81136	08698309-n		
http://www.wikidata.org/entity/Q81178	08837535-n		
http://www.wikidata.org/entity/Q81235	02980517-n		
http://www.wikidata.org/entity/Q81307	08038840-n		
http://www.wikidata.org/entity/Q81447	11089736-n		
http://www.wikidata.org/entity/Q81598	09320010-n		
http://www.wikidata.org/entity/Q82207	09334616-n		
http://www.wikidata.org/entity/Q82840	10826297-n		
http://www.wikidata.org/entity/Q83041	10836028-n		
http://www.wikidata.org/entity/Q83203	09516174-n		
http://www.wikidata.org/entity/Q83210	08812426-n		
http://www.wikidata.org/entity/Q83222	15151127-n		
http://www.wikidata.org/entity/Q83223	09582330-n		
http://www.wikidata.org/entity/Q83247	09008328-n		
http://www.wikidata.org/entity/Q83410	11031394-n		
http://www.wikidata.org/entity/Q84133	05398343-n	D009206	C0027061
http://www.wikidata.org/entity/Q84170	09351217-n		
http://www.wikidata.org/entity/Q84287	11390063-n		
http://www.wikidata.org/entity/Q89640	00801070-n		
http://www.wikidata.org/entity/Q91417	11386653-n		
http://www.wikidata.org/entity/Q93195	08908408-n		
http://www.wikidata.org/entity/Q93230	09000035-n		
http://www.wikidata.org/entity/Q100937	10845956-n		
http://www.wikidata.org/entity/Q101286	11092386-n		
http://www.wikidata.org/entity/Q101583	08920003-n		
http://www.wikidata.org/entity/Q101805	03565610-n		
http://www.wikidata.org/entity/Q102231	04978580-n		
http://www.wikidata.org/entity/Q102416	15149313-n		
http://www.wikidata.org/entity/Q102527	11309481-n		
http://www.wikidata.org/entity/Q102865	10942720-n		
http://www.wikidata.org/entity/Q103142	05433487-n	D002196	C0006901
http://www.wikidata.org/entity/Q103142	05433487-n	D002196	C0935624
http://www.wikidata.org/entity/Q103163	09773735-n		
http://www.wikidata.org/entity/Q103459	01890115-n	D058751	
http://www.wikidata.org/entity/Q104042	09590173-n		
http://www.wikidata.org/entity/Q105522	15110249-n	D014527	
http://www.wikidata.org/entity/Q105550	11139624-n		
http://www.wikidata.org/entity/Q105731	03688405-n		
http://www.wikidata.org/entity/Q106026	10842171-n		
http://www.wikidata.org/entity/Q106143	11249313-n		
http://www.wikidata.org/entity/Q107082	11110874-n		
http://www.wikidata.org/entity/Q107198	09858283-n		
http://www.wikidata.org/entity/Q107609	10974320-n		
http://www.wikidata.org/entity/Q107626	09610584-n		
http://www.wikidata.org/entity/Q107679	09421552-n		
http://www.wikidata.org/entity/Q108000	13505847-n	D005615	
http://www.wikidata.org/entity/Q108266	09682366-n		
http://www.wikidata.org/entity/Q108301	11378220-n		
http://www.wikidata.org/entity/Q109612	11205490-n		
http://www.wikidata.org/entity/Q109711	09144925-n		
http://www.wikidata.org/entity/Q110218	09058210-n		
http://www.wikidata.org/entity/Q110315	14093377-n	D007855	C0023176
http://www.wikidata.org/entity/Q110968	11129017-n		
http://www.wikidata.org/entity/Q111161	08339450-n		
http://www.wikidata.org/entity/Q114403	00365426-n		
http://www.wikidata.org/entity/Q116434	04071513-n		
http://www.wikidata.org/entity/Q118841	09313933-n		
http://www.wikidata.org/entity/Q121359	03575144-n		
http://www.wikidata.org/entity/Q127956	03766619-n		
http://www.wikidata.org/entity/Q131014	01717484-n		
http://www.wikidata.org/entity/Q131172	00150328-n	D014896	
http://www.wikidata.org/entity/Q132821	00221389-n		
http://www.wikidata.org/entity/Q134932	04419551-n		
http://www.wikidata.org/entity/Q136689	03006420-n		
http://www.wikidata.org/entity/Q301	10976369-n		
http://www.wikidata.org/entity/Q303	11266030-n		
http://www.wikidata.org/entity/Q307	11007720-n		
http://www.wikidata.org/entity/Q409	11177570-n		
http://www.wikidata.org/entity/Q493	11282755-n		
http://www.wikidata.org/entity/Q496	14878449-n	D005243	
http://www.wikidata.org/entity/Q508	13619799-n		
http://www.wikidata.org/entity/Q539	11010959-n		
http://www.wikidata.org/entity/Q671	14662042-n	D005605	
http://www.wikidata.org/entity/Q706	14656826-n	D002118	C0006675
http://www.wikidata.org/entity/Q989	11107757-n		
http://www.wikidata.org/entity/Q1046	14671120-n	D009556	
http://www.wikidata.org/entity/Q1145	11272905-n		
http://www.wikidata.org/entity/Q1311	15262579-n		
http://www.wikidata.org/entity/Q1364	13155706-n	D005638	
http://www.wikidata.org/entity/Q1368	13405730-n		
http://www.wikidata.org/entity/Q1515	08754612-n		
http://www.wikidata.org/entity/Q1524	08803195-n		
